Name,Package,Tags,Score,Developers,Version,MD5,Download_URL
铁路12306,com.MobileTicket,火车票,3.8,中铁程科技有限责任公司,5.8.2.13,3ABEF16F827317B5E827212AE1BE3051,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/3ABEF16F827317B5E827212AE1BE3051.apk?fsname=com.MobileTicket_5.8.2.13.apk
九游,cn.ninegame.gamemanager,游戏社区,3.2,广州爱九游信息技术有限公司,8.2.1.0,189C3610CC63DC1F1704A8F794650620,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/189C3610CC63DC1F1704A8F794650620.apk?fsname=cn.ninegame.gamemanager_8.2.1.0.apk
蘑菇街,com.mogujie,综合商城,4.3,杭州卷瓜网络有限公司,18.1.4.24810,30546615AC9C1A970AA80D6E34D715FE,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/30546615AC9C1A970AA80D6E34D715FE.apk?fsname=com.mogujie_18.1.4.24810.apk
咪咕阅读,com.ophone.reader.ui,电子书城,4.8,咪咕数字传媒有限公司,10.7.0,8DC73F631DF951D80111971073B48934,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/8DC73F631DF951D80111971073B48934.apk?fsname=com.ophone.reader.ui_10.7.0.apk
悦动圈,com.yuedong.sport,减脂瘦身,4.8,深圳市悦动天下科技有限公司,5.17.1.7.5,FB6D15DBF06D3C4A0FDAEEA7B04B3D83,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/FB6D15DBF06D3C4A0FDAEEA7B04B3D83.apk?fsname=com.yuedong.sport_5.17.1.7.5.apk
高铁管家,com.gtgj.view,火车票,4.9,深圳市活力天汇科技股份有限公司,8.7.4,CC36CC34249FD7C33039ED30FE43C0C9,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/CC36CC34249FD7C33039ED30FE43C0C9.apk?fsname=com.gtgj.view_8.7.4.apk
视频铃声来电秀,com.splingsheng.ringtone,手机主题,5.0,天津享趣科技有限公司,2.9.19,2FC43892764B29FC4B7AD500A4FDD050,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/2FC43892764B29FC4B7AD500A4FDD050.apk?fsname=com.splingsheng.ringtone_2.9.19.apk
Microsoft Word,com.microsoft.office.word,文档表格,4.1,Microsoft,16.0.18227.20088,4A126B3516D268012B5CE89DAB21671C,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/4A126B3516D268012B5CE89DAB21671C.apk?fsname=com.microsoft.office.word_16.0.18227.20088.apk
抖音极速版,com.ss.android.ugc.aweme.lite,短视频,4.7,北京抖音科技有限公司,32.6.0,EA38390C92F86A3DE8F909055CE8424A,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/EA38390C92F86A3DE8F909055CE8424A.apk?fsname=com.ss.android.ugc.aweme.lite_32.6.0.apk
波波视频,tv.yixia.bobo,短视频,4.8,新壹（北京）科技有限公司,22.0.10,41355F109C0428FD814EAF728CC697D8,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/41355F109C0428FD814EAF728CC697D8.apk?fsname=tv.yixia.bobo_22.0.10.apk
派派,com.ifreetalk.ftalk,匿名/陌生人,4.9,北京畅聊天下科技股份有限公司,7.2.129,3B2022F71A5B3880E30486C8A3AB58AA,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/3B2022F71A5B3880E30486C8A3AB58AA.apk?fsname=com.ifreetalk.ftalk_7.2.129.apk
懒人听书,bubei.tingshu,听书/有声书,4.2,深圳市懒人在线科技有限公司,8.5.2,CC5EA769B7CFFA17B39DD7ABCAE1768B,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/CC5EA769B7CFFA17B39DD7ABCAE1768B.apk?fsname=bubei.tingshu_8.5.2.apk
谷歌浏览器Google Chrome,com.android.chrome,手机浏览器,3.7,Google Inc.,107.0.5304.105,55B60A85C93EE3B526362191242F9F25,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/55B60A85C93EE3B526362191242F9F25.apk?fsname=com.android.chrome_107.0.5304.105.apk
荔枝,com.yibasan.lizhifm,音乐电台,4.6,广州荔支网络技术有限公司,5.19.12,FEEC44940CCBE266C61077D08AE353FA,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/FEEC44940CCBE266C61077D08AE353FA.apk?fsname=com.yibasan.lizhifm_5.19.12.apk
一点资讯,com.hipu.yidian,综合新闻,5.0,北京一点网聚科技有限公司,7.2.3.0,5EF6B4EF31A3EF2977699D942F083FBA,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/5EF6B4EF31A3EF2977699D942F083FBA.apk?fsname=com.hipu.yidian_7.2.3.0.apk
风行视频,com.funshion.video.mobile,综合视频,3.5,北京风行在线技术有限公司,4.5.3.11,3A3E42C5FE77E7DABF0FC249F218B511,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/3A3E42C5FE77E7DABF0FC249F218B511.apk?fsname=com.funshion.video.mobile_4.5.3.11.apk
